顾芷瑜	11111111111	女	江苏南京	2000/01	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
黄贝柔	11111111112	女	南极半岛	2000/02	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
黄思琪	11111111113	女	格陵兰岛	2000/03	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
黄甜	11111111114	女	白令海峡	2000/04	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
林叶洁	11111111115	女	马里亚纳	2000/05	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
陆静雯	11111111116	女	南区铁门	2000/06	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
王文静	11111111118	女	红海基地	2000/07	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
吴昕睿	11111111119	女	蒙德城	2000/08	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
薛瑞琦	11111111120	女	果酒湖	2000/09	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
张歆雨	11111111121	女	低语森林	2000/10	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
阿巴斯	11111111122	男	鹰翔海滩	2000/11	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
陈雪鹏	11111111123	男	江苏南京	2000/12	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
邓毛毛	11111111124	男	南极半岛	2001/01	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
付顺亮	11111111125	男	格陵兰岛	2001/02	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
高屹楷	11111111126	男	白令海峡	2001/03	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
戈世奇	11111111127	男	马里亚纳	2001/04	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
贺琮瀚	11111111128	男	南区铁门	2001/05	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
季文卓	11111111129	男	红海基地	2001/06	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
金琪	11111111130	男	蒙德城	2001/07	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
李春奇	11111111131	男	果酒湖	2001/08	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
李福滨	11111111132	男	低语森林	2001/09	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
李海鑫	11111111133	男	鹰翔海滩	2001/10	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
李旷宇	11111111134	男	江苏南京	2001/11	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
李沛昂	11111111135	男	南极半岛	2001/12	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
林鑫鹏	11111111136	男	格陵兰岛	2002/01	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
刘耀宁	11111111137	男	白令海峡	2002/02	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
罗帅	11111111138	男	马里亚纳	2002/03	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
宋克斐	11111111139	男	南区铁门	2002/04	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
宋庆福	11111111140	男	红海基地	2002/05	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
孙涵	11111111141	男	蒙德城	2002/06	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
王国伟	11111111142	男	果酒湖	2002/07	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
吴宇凡	11111111143	男	低语森林	2002/08	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
夏天	11111111144	男	鹰翔海滩	2002/09	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
夏泽宇	11111111145	男	江苏南京	2002/10	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
肖林航	11111111146	男	南极半岛	2002/11	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
谢静	11111111147	男	格陵兰岛	2002/12	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
严润宇	11111111148	男	格陵兰岛	2003/01	00040000	10000005	原神000	明日方舟0	荒野乱斗0	猫和老鼠0	森林冰火0	
阳德群	11111111149	男	马里亚纳	2003/02	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
喻新棋	11111111150	男	南区铁门	2003/03	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
张斌奇	11111111151	男	红海基地	2003/04	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
张天晨	11111111152	男	蒙德城	2003/05	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
张子龙	11111111153	男	果酒湖	2003/06	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
赵奎	11111111154	男	低语森林	2003/07	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
邹雨果	11111111155	男	鹰翔海滩	2003/08	00000000	00000000	高等数学0	大学英语0	程序设计0	工程制图0	线性代数0	
